,OP134_C1_20230609-150121.spc
617,16657.3125
618,16628.92578125
619,16642.68359375
620,16687.498046875
621,16743.111328125
622,16790.162109375
623,16817.27734375
624,16821.822265625
625,16806.1015625
626,16773.466796875
627,16727.73046875
628,16675.134765625
629,16625.43359375
630,16589.34375
631,16573.515625
632,16577.240234375
633,16594.544921875
634,16621.037109375
635,16660.09375
636,16722.640625
637,16819.224609375
638,16949.587890625
639,17098.26171875
640,17240.666015625
641,17356.5078125
642,17441.138671875
643,17506.150390625
644,17568.951171875
645,17639.056640625
646,17711.263671875
647,17770.462890625
648,17803.265625
649,17807.146484375
650,17790.71875
651,17766.146484375
652,17740.787109375
653,17714.33984375
654,17682.22265625
655,17641.056640625
656,17591.501953125
657,17537.294921875
658,17482.783203125
659,17431.513671875
660,17386.216796875
661,17348.55078125
662,17317.654296875
663,17288.470703125
664,17251.9140625
665,17197.640625
666,17118.16015625
667,17012.22265625
668,16886.171875
669,16753.544921875
670,16632.83984375
671,16543.134765625
672,16497.37109375
673,16495.486328125
674,16521.92578125
675,16550.8828125
676,16558.314453125
677,16533.9765625
678,16485.720703125
679,16432.732421875
680,16392.216796875
681,16368.865234375
682,16353.9951171875
683,16334.4130859375
684,16303.861328125
685,16268.8291015625
686,16245.5361328125
687,16251.00390625
688,16294.9287109375
689,16377.25
690,16491.638671875
691,16631.578125
692,16794.779296875
693,16983.7734375
694,17202.94921875
695,17453.849609375
696,17730.896484375
697,18019.021484375
698,18294.5
699,18529.037109375
700,18696.373046875
701,18779.220703125
702,18773.794921875
703,18690.203125
704,18548.505859375
705,18372.623046875
706,18184.701171875
707,18002.09765625
708,17836.986328125
709,17697.40234375
710,17588.03125
711,17510.263671875
712,17461.95703125
713,17437.96484375
714,17431.521484375
715,17435.90234375
716,17445.298828125
717,17454.6640625
718,17459.08984375
719,17453.62109375
720,17433.75390625
721,17396.2109375
722,17339.298828125
723,17262.998046875
724,17169.29296875
725,17063.208984375
726,16953.86328125
727,16854.2109375
728,16778.572265625
729,16738.61328125
730,16739.5234375
731,16778.18359375
732,16843.33984375
733,16917.146484375
734,16977.228515625
735,17000.111328125
736,16966.759765625
737,16869.564453125
738,16717.03125
739,16532.1484375
740,16343.0615234375
741,16170.58203125
742,16020.37109375
743,15885.2646484375
744,15756.6484375
